CAS,InChIKey,Score
"28701-67-9","BOKTVFODBQQGIH-UHFFFAOYSA-N","0"
"28701-67-9","BOKTVFODBQQGIH-UHFFFAOYSA-N","0"
"2893-78-9","MSFGZHUJTJBYFA-UHFFFAOYSA-M","1"
"29036-02-0","OWPJBAYCIXEHFA-UHFFFAOYSA-N","0"
"29598-76-3","VSVVZZQIUJXYQA-UHFFFAOYSA-N","0"
"29598-76-3","VSVVZZQIUJXYQA-UHFFFAOYSA-N","0"
"29637-52-3","BHMCWKHQTHVFST-MBCFVHIPSA-J","0"
"29761-21-5","RYUJRXVZSJCHDZ-UHFFFAOYSA-N","0"
"298-06-6","IRDLUHRVLVEUHA-UHFFFAOYSA-N","0"
"298-07-7","SEGLCEQVOFDUPX-UHFFFAOYSA-N","0"
"29806-73-3","FTPUBZGARRXJIM-UHFFFAOYSA-N","0"
"29806-73-3","FTPUBZGARRXJIM-UHFFFAOYSA-N","0"
"301-02-0","FATBGEAMYMYZAF-KTKRTIGZSA-N","1"
"30113-45-2","MNKBJOSIVSQUBI-UHFFFAOYSA-N","0"
"30113-45-2","MNKBJOSIVSQUBI-UHFFFAOYSA-N","0"
"306-83-2","OHMHBGPWCHTMQE-UHFFFAOYSA-N","0"
"306-83-2","OHMHBGPWCHTMQE-UHFFFAOYSA-N","0"
"3081-01-4","UHJVLUYSDYOULM-UHFFFAOYSA-N","0"
"3081-14-9","ZJNLYGOUHDJHMG-UHFFFAOYSA-N","0"
"3089-11-0","BNCADMBVWNPPIZ-UHFFFAOYSA-N","0"
"3147-75-9","IYAZLDLPUNDVAG-UHFFFAOYSA-N","1"
"3151-59-5","KMXTYZBQPJXGNK-UHFFFAOYSA-N","1"
"3151-59-5","KMXTYZBQPJXGNK-UHFFFAOYSA-N","1"
"31556-45-3","GKAVWWCJCPVMNR-UHFFFAOYSA-N","0"
"3159-62-4","RXPKHKBYUIHIGL-UHFFFAOYSA-L","0"
"3173-53-3","DGTNSSLYPYDJGL-UHFFFAOYSA-N","0"
"328-84-7","XILPLWOGHPSJBK-UHFFFAOYSA-N","0"
"3296-90-0","CHUGKEQJSLOLHL-UHFFFAOYSA-N","0"
"3319-31-1","KRADHMIOFJQKEZ-UHFFFAOYSA-N","0"
"3319-31-1","KRADHMIOFJQKEZ-UHFFFAOYSA-N","0"
"3338-24-7","ZKDDJTYSFCWVGS-UHFFFAOYSA-M","0"
"340017-14-3","No result","N/A"
"34090-76-1","FKBMTBAXDISZGN-UHFFFAOYSA-N","0"
"3452-07-1","VAMFXQBUQXONLZ-UHFFFAOYSA-N","1"
"35074-77-2","ZVVFVKJZNVSANF-UHFFFAOYSA-N","0"
"35074-77-2","ZVVFVKJZNVSANF-UHFFFAOYSA-N","0"
"354-58-5","CYXIKYKBLDZZNW-UHFFFAOYSA-N","1"
"36445-71-3","JTEJEDOIXSTHKS-UHFFFAOYSA-L","0"
"3648-20-2","QQVHEQUEHCEAKS-UHFFFAOYSA-N","0"
"36505-83-6","QGSCPWWHMSCFOV-RRABGKBLSA-N","1"
"36505-83-6","QGSCPWWHMSCFOV-RRABGKBLSA-N","1"
"36653-82-4","BXWNKGSJHAJOGX-UHFFFAOYSA-N","1"
"3687-46-5","SASYSVUEVMOWPL-NXVVXOECSA-N","1"
"36878-20-3","DMLQDPIAVJTTKJ-UHFFFAOYSA-N","0"
"3709-43-1","UETHPMGVZHBAFB-OWOJBTEDSA-N","1"
"3710-84-7","FVCOIAYSJZGECG-UHFFFAOYSA-N","1"
"374-07-2","BAMUEXIPKSRTBS-UHFFFAOYSA-N","0"
"3806-34-6","PZRWFKGUFWPFID-UHFFFAOYSA-N","0"
